timestamp,src,dst,proto,length,label
1756395156.367934,10.215.173.1,57.144.146.144,TCP,60,unlabeled
1756395156.393717,10.215.173.1,57.144.146.36,TCP,60,unlabeled
1756395156.402143,10.215.173.1,10.215.173.2,DNS,68,unlabeled
1756395156.410538,10.215.173.1,10.215.173.2,DNS,77,unlabeled
1756395156.419936,57.144.146.144,10.215.173.1,TCP,48,unlabeled
1756395156.420386,57.144.146.36,10.215.173.1,TCP,48,unlabeled
1756395156.420741,10.215.173.2,10.215.173.1,DNS,108,unlabeled
1756395156.421372,10.215.173.1,57.144.146.144,TCP,40,unlabeled
1756395156.421417,10.215.173.1,57.144.146.36,TCP,40,unlabeled
1756395156.422347,10.215.173.1,57.144.146.144,TLS,422,unlabeled
1756395156.422979,57.144.146.144,10.215.173.1,TCP,40,unlabeled
1756395156.424581,10.215.173.2,10.215.173.1,DNS,129,unlabeled
1756395156.431671,10.215.173.1,57.144.146.144,TLS,1671,unlabeled
1756395156.431747,10.215.173.1,57.144.146.36,TCP,44,unlabeled
1756395156.431991,10.215.173.1,57.144.146.36,TCP,47,unlabeled
1756395156.432042,10.215.173.1,57.144.146.36,TCP,44,unlabeled
1756395156.432096,57.144.146.144,10.215.173.1,TLS,247,unlabeled
1756395156.433192,57.144.146.36,10.215.173.1,TCP,40,unlabeled
1756395156.433391,10.215.173.1,57.144.146.144,TCP,40,unlabeled
1756395156.433607,57.144.146.144,10.215.173.1,TCP,40,unlabeled
1756395156.433772,10.215.173.1,57.144.146.144,TLS,124,unlabeled
1756395156.433819,57.144.146.144,10.215.173.1,TCP,40,unlabeled
1756395156.436207,10.215.173.1,57.144.146.36,TCP,2371,unlabeled
1756395156.436731,57.144.146.36,10.215.173.1,TCP,40,unlabeled
1756395156.436915,10.215.173.1,57.144.146.144,TLS,274,unlabeled
1756395156.437031,57.144.146.144,10.215.173.1,TCP,40,unlabeled
1756395156.44227,57.144.146.144,10.215.173.1,TLS,217,unlabeled
1756395156.483811,10.215.173.1,57.144.146.144,TCP,40,unlabeled
1756395156.718456,57.144.146.144,10.215.173.1,TLS,66,unlabeled
1756395156.718817,10.215.173.1,57.144.146.144,TCP,40,unlabeled
1756395156.718864,57.144.146.144,10.215.173.1,TLS,66,unlabeled
1756395156.719018,57.144.146.36,10.215.173.1,TCP,144,unlabeled
1756395156.719201,10.215.173.1,57.144.146.144,TCP,40,unlabeled
1756395156.719216,10.215.173.1,57.144.146.36,TCP,40,unlabeled
1756395156.7463,57.144.146.144,10.215.173.1,TLS,195,unlabeled
1756395156.746455,10.215.173.1,57.144.146.144,TCP,40,unlabeled
1756395156.76449,10.215.173.1,57.144.146.36,TCP,84,unlabeled
1756395156.764969,57.144.146.36,10.215.173.1,TCP,40,unlabeled
